id,name,pid,POIconv,Ipoint,mass,sigma_mass,Cx,sigma_Cx,Cy,sigma_Cy,Cz,sigma_Cz,Ixx,sigma_Ixx,Iyy,sigma_Iyy,Izz,sigma_Izz,Ixy,sigma_Ixy,Ixz,sigma_Ixz,Iyz,sigma_Iyz
C.1,System 1,NA,-,false,639.0103349237929,10.29027471624782,-0.4652566134301631,1.3761535263664577,-0.8895186926913492,1.3398906654200435,0.1697844839726794,1.3627992165359768,4.0873896343959933e6,130263.28452541346,4.214116008991565e6,134731.9812053999,4.158436613697667e6,133559.45218357517,-89412.81361726798,62003.63855371233,-42184.240893756156,62759.64381263537,-46461.97996986614,61185.295675813286
C.1.1,Segment 1,C.1,-,false,372.62377527500854,7.810882267029767,0.29500406241751576,1.7952120275301782,-0.38006993879987255,1.7394640481744439,-0.20519019605504557,1.7713487656890816,2.3280698267189884e6,97529.57430415497,2.4358394699866404e6,102000.49375378032,2.3948092253805567e6,100872.6324183872,-69096.99304471878,46928.44521912959,-20216.144481108837,47564.4989690206,-1746.0492371616165,45787.68012296459
C.1.1.1,Element 1,C.1.1,-,false,47.75851407979661,2.6964867339573457,12.529872840432589,5.049204230547871,-3.8107196414578595,4.843551973280654,-5.514181394877913,4.750347209297229,300979.324670833,33514.999784521984,310618.16300882155,35589.3648641232,333367.95175749017,36850.00248452121,-16907.42737942391,17518.21076712086,-8415.841141076155,16933.707689874387,22173.215503814303,15964.650593400556
C.1.1.1.1,Subsystem 1,C.1.1.1,-,false,26.993326929193923,2.0029000638085734,16.51724204684185,6.307708131143107,-4.410054065063986,6.415995892457973,-12.523373425045156,6.352089624903942,179074.0432237413,25939.483828548757,171936.91679449636,24864.133002552677,182311.73669636794,25752.504001328733,-6117.042248359788,12501.638248881874,2202.460905348248,12136.189103944484,4478.7717382724995,12315.527038658633
C.1.1.1.1.1,Assembly 1,C.1.1.1.1,-,false,9.437501752843614,1.2265207905297184,26.380995001105052,10.757115819880168,-5.7913636372700426,10.687129576114337,-20.23583989470241,10.582143618772712,53865.61128873449,13753.284148337554,50022.51529151407,13209.458270438421,57628.543575058204,14504.896416618969,-8993.68538739472,7101.262500825364,7006.987410213221,6344.185262278462,8741.831091673452,6437.07416913134
C.1.1.1.1.1.1,Subassembly 1,C.1.1.1.1.1,-,false,1.1105671058557927,0.5007250159521434,-22.59712751387718,21.378071040097886,0.6519388317155196,28.277428347850392,-37.726965003630134,33.42610120259329,3081.9879435164135,3533.6534950467817,2032.9517847252766,2817.6476626806116,1192.9402500866536,1756.98388743211,-263.3066091135466,617.0514604668992,212.1579148435338,727.6503930263974,339.2900450504472,1296.2797686582057
C.1.1.1.1.1.1.1,Part 1,C.1.1.1.1.1.1,+,false,0.1521751119736582,0.28909372274994966,-34.29865841753781,28.721044428837228,-66.12854544073343,28.23690002309109,-73.53497515432537,29.057750463592832,0.18346195470478338,0.37074144170588635,0.15837006341318408,0.3723953238821935,0.18470199509290466,0.37017423652493897,0.0037985231754760324,0.02351283871158888,0.0037582877147340657,0.022566176940390956,-0.014017164148438758,0.02209918015384651
C.1.1.1.1.1.1.2,Part 2,C.1.1.1.1.1.1,+,false,0.18868499795440585,0.28909372274994966,-34.91070759482682,28.721044428837228,-26.443653739988804,28.23690002309109,53.87474172748625,29.057750463592832,0.27656684418566047,0.37074144170588635,0.27637506714868143,0.3723953238821935,0.27051180191523305,0.37017423652493897,0.00778657987414301,0.02351283871158888,-0.0023871384096893107,0.022566176940390956,0.00589012398047391,0.02209918015384651
C.1.1.1.1.1.1.3,Part 3,C.1.1.1.1.1.1,+,false,0.7697069959277287,0.28909372274994966,-17.265138030052185,28.721044428837228,20.49697022885084,28.23690002309109,-53.10265985317528,29.057750463592832,0.904850891478444,0.37074144170588635,0.867503905740675,0.3723953238821935,0.853946253806776,0.37017423652493897,-0.01872761180810094,0.02351283871158888,0.007255691281044883,0.022566176940390956,0.003569366743797703,0.02209918015384651
C.1.1.1.1.1.2,Subassembly 2,C.1.1.1.1.1,-,false,3.533991458012024,0.6464332159373649,45.51221382740256,14.459549506662363,-8.434676996940743,17.006032342691423,-34.03026889557729,15.77020918047544,13226.998955098521,6660.425305738779,6738.93620355943,4454.52402749815,10394.45727085018,5891.823440456941,-333.4752438434008,2695.9111933124373,-385.1697561022531,2126.055643887889,-2351.6703557374262,3123.055642175128
