shortName,name,parentShortName,POIconv,Ipoint,mass,sigma_mass,Cx,sigma_Cx,Cy,sigma_Cy,Cz,sigma_Cz,Ixx,sigma_Ixx,Iyy,sigma_Iyy,Izz,sigma_Izz,Ixy,sigma_Ixy,Ixz,sigma_Ixz,Iyz,sigma_Iyz
C.1,System 1,NA,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C.1.1,Segment 1,C.1,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C.1.1.1,Element 1,C.1.1,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C.1.1.1.1,Subsystem 1,C.1.1.1,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C.1.1.1.1.1,Assembly 1,C.1.1.1.1,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C.1.1.1.1.1.1,Subassembly 1,C.1.1.1.1.1,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C.1.1.1.1.1.1.1,Part 1,C.1.1.1.1.1.1,+,False,0.1521751119736582,0.28909372274994966,-34.29865841753781,28.721044428837228,-66.12854544073343,28.23690002309109,-73.53497515432537,29.057750463592832,0.18346195470478338,0.37074144170588635,0.15837006341318408,0.3723953238821935,0.18470199509290466,0.37017423652493897,0.0037985231754760324,0.02351283871158888,0.0037582877147340657,0.022566176940390956,-0.014017164148438758,0.02209918015384651
C.1.1.1.1.1.1.2,Part 2,C.1.1.1.1.1.1,+,False,0.18868499795440585,0.28909372274994966,-34.91070759482682,28.721044428837228,-26.443653739988804,28.23690002309109,53.87474172748625,29.057750463592832,0.27656684418566047,0.37074144170588635,0.27637506714868143,0.3723953238821935,0.27051180191523305,0.37017423652493897,0.00778657987414301,0.02351283871158888,-0.0023871384096893107,0.022566176940390956,0.00589012398047391,0.02209918015384651
C.1.1.1.1.1.1.3,Part 3,C.1.1.1.1.1.1,+,False,0.7697069959277287,0.28909372274994966,-17.265138030052185,28.721044428837228,20.49697022885084,28.23690002309109,-53.10265985317528,29.057750463592832,0.904850891478444,0.37074144170588635,0.867503905740675,0.3723953238821935,0.853946253806776,0.37017423652493897,-0.01872761180810094,0.02351283871158888,0.007255691281044883,0.022566176940390956,0.003569366743797703,0.02209918015384651
C.1.1.1.1.1.2,Subassembly 2,C.1.1.1.1.1,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
